path,title,page_type,navigation_status,http_status,last_modified,word_count,image_count,form_count,top_headings,external_domains,proposed_disposition,rationale
/events-one/spring-pilot-fire-circle-3,Spring Pilot- Fire Circle 3 — Wayfinders on the Hudson,event item,sitemap/unlinked,200,2022-01-12,39,1,0,Spring Pilot- Fire Circle 3 | Spring Pilot-Fire Circle 4,www.facebook.com; www.google.com; www.instagram.com,archive/redirect,Dated event item; preserve only if historically valuable or receiving traffic.
/events-one/spring-pilot-fire-circle-2,Spring Pilot- Fire Circle 2 — Wayfinders on the Hudson,event item,sitemap/unlinked,200,2022-01-12,40,1,0,Spring Pilot- Fire Circle 2 | Spring Pilot - Retreat Session 1,www.facebook.com; www.google.com; www.instagram.com,archive/redirect,Dated event item; preserve only if historically valuable or receiving traffic.
/events-one/spring-pilot-fire-circle-1,Spring Pilot- Fire Circle 1 — Wayfinders on the Hudson,event item,sitemap/unlinked,200,2022-01-12,40,1,0,Spring Pilot- Fire Circle 1 | Spring Pilot- Fire Circle 2,www.facebook.com; www.google.com; www.instagram.com,archive/redirect,Dated event item; preserve only if historically valuable or receiving traffic.
/events-one/spring-pilot-application-deadline,Spring 2022 Pilot Application Deadline — Wayfinders on the Hudson,event item,sitemap/unlinked,200,2021-12-20,31,1,0,Spring 2022 Pilot Application Deadline | Spring Pilot Deadline to Register,www.facebook.com; www.google.com; www.instagram.com,archive/redirect,Dated event item; preserve only if historically valuable or receiving traffic.
/events-one/parent-gathering-in-person-for-the-parents-of-our-spring-participants,Spring Pilot-Parent Gathering LIVE for the Parents of our Spring Participants — Wayfinders on the Hudson,event item,sitemap/unlinked,200,2022-04-19,46,1,0,Spring Pilot-Parent Gathering LIVE for the Parents of our Spring Participants | Spring Pilot- Fire Circle 5 | Spring Pilot- Fire Circle 6,www.facebook.com; www.google.com; www.instagram.com,archive/redirect,Dated event item; preserve only if historically valuable or receiving traffic.
/events-one/fire-circle-6,Spring Pilot- Fire Circle 6 — Wayfinders on the Hudson,event item,sitemap/unlinked,200,2021-12-20,50,1,0,Spring Pilot- Fire Circle 6 | Spring Pilot-Parent Gathering LIVE for the Parents of our Spring Participants,www.facebook.com; www.google.com; www.instagram.com,archive/redirect,Dated event item; preserve only if historically valuable or receiving traffic.
/events-one/fire-circle-5,Spring Pilot-Fire Circle 5 — Wayfinders on the Hudson,event item,sitemap/unlinked,200,2021-12-20,43,1,0,Spring Pilot-Fire Circle 5 | Spring Pilot - Retreat Session 2 | Spring Pilot- Fire Circle 5,www.facebook.com; www.google.com; www.instagram.com,archive/redirect,Dated event item; preserve only if historically valuable or receiving traffic.
/events-one/fire-circle-4,Spring Pilot-Fire Circle 4 — Wayfinders on the Hudson,event item,sitemap/unlinked,200,2021-12-20,43,1,0,Spring Pilot-Fire Circle 4 | Spring Pilot- Fire Circle 3 | Spring Pilot- Fire Circle 4,www.facebook.com; www.google.com; www.instagram.com,archive/redirect,Dated event item; preserve only if historically valuable or receiving traffic.
/events-one/fire-circle-3,Spring Pilot- Fire Circle 3 — Wayfinders on the Hudson,event item,sitemap/unlinked,200,2021-12-20,44,1,0,Spring Pilot- Fire Circle 3 | Spring Pilot - Retreat Session 1,www.facebook.com; www.google.com; www.instagram.com,archive/redirect,Dated event item; preserve only if historically valuable or receiving traffic.
/events-one/fire-circle-2,Spring Pilot- Fire Circle 2 — Wayfinders on the Hudson,event item,sitemap/unlinked,200,2021-12-20,44,1,0,Spring Pilot- Fire Circle 2 | Spring Pilot- Fire Circle 1,www.facebook.com; www.google.com; www.instagram.com,archive/redirect,Dated event item; preserve only if historically valuable or receiving traffic.
/events-one/fire-circle-1,Spring Pilot- Fire Circle 1 — Wayfinders on the Hudson,event item,sitemap/unlinked,200,2021-12-20,45,1,0,Spring Pilot- Fire Circle 1 | Spring Pilot Deadline to Register,www.facebook.com; www.google.com; www.instagram.com,archive/redirect,Dated event item; preserve only if historically valuable or receiving traffic.
/events-one/fire-circle-7,Spring Pilot- Final Fire Circle — Wayfinders on the Hudson,event item,sitemap/unlinked,200,2021-12-20,40,1,0,Spring Pilot- Final Fire Circle | Spring Pilot - Retreat Session 3,www.facebook.com; www.google.com; www.instagram.com,archive/redirect,Dated event item; preserve only if historically valuable or receiving traffic.
/events-one/eteqn1vosnz2odslle1sv1y7rcvcfa,Spring Pilot- Final Retreat and Ceremony — Wayfinders on the Hudson,event item,sitemap/unlinked,200,2021-12-20,32,1,0,Spring Pilot- Final Retreat and Ceremony | Spring Pilot- Final Fire Circle,www.facebook.com; www.google.com; www.instagram.com,archive/redirect,Dated event item; preserve only if historically valuable or receiving traffic.
/events-one/spring-2022-retreat-session-3,Spring Pilot - Retreat Session 3 — Wayfinders on the Hudson,event item,sitemap/unlinked,200,2021-12-20,53,1,0,Spring Pilot - Retreat Session 3 | Spring Pilot- Fire Circle 6 | Spring Pilot- Final Fire Circle,www.facebook.com; www.google.com; www.instagram.com,archive/redirect,Dated event item; preserve only if historically valuable or receiving traffic.
/events-one/event-two-rbxmn,Spring Pilot - Retreat Session 2 — Wayfinders on the Hudson,event item,sitemap/unlinked,200,2021-12-20,48,1,0,Spring Pilot - Retreat Session 2 | Spring Pilot- Fire Circle 4 | Spring Pilot-Fire Circle 5,www.facebook.com; www.google.com; www.instagram.com,archive/redirect,Dated event item; preserve only if historically valuable or receiving traffic.
/events-one/event-one-y727b,Spring Pilot - Retreat Session 1 — Wayfinders on the Hudson,event item,sitemap/unlinked,200,2022-01-25,45,1,0,Spring Pilot - Retreat Session 1 | Spring Pilot- Fire Circle 2 | Spring Pilot- Fire Circle 3,www.facebook.com; www.google.com; www.instagram.com,archive/redirect,Dated event item; preserve only if historically valuable or receiving traffic.
/events-new,Events — Wayfinders on the Hudson,information/media,sitemap/unlinked,200,2023-02-13,99,2,0,VIRTUAL STORYTELLING CIRCLE,www.eventbrite.com; www.facebook.com; www.google.com; www.instagram.com,review,Public sitemap page not in current navigation; owner decision required.
/events-new/wayfinders-virtual-storytelling-fire-circle-with-dr-elizabeth-lindsey-wednesday-march-1-700-730pm-google-meet-joining-info-video-call-link-https/meetgooglecom/bse-yghi-nvz,VIRTUAL STORYTELLING CIRCLE — Wayfinders on the Hudson,event item,sitemap/unlinked,200,2023-02-13,121,2,0,VIRTUAL STORYTELLING CIRCLE,elizabethlindsey.com; www.eventbrite.com; www.facebook.com; www.google.com; www.instagram.com,archive/redirect,Dated event item; preserve only if historically valuable or receiving traffic.
/familycamp-1,Family Base Camp — Wayfinders on the Hudson,program/service,sitemap/unlinked,200,2023-10-09,85,3,0,Upcoming events. | Family Base Camp,checkout.stripe.com; maps.app.goo.gl; www.facebook.com; www.google.com; www.instagram.com,duplicate/review,Probable Squarespace copy or duplicate; compare before redirecting or archiving.
/familycamp-1/cpuw3swb1r8kietm712qbux6ts0yw5,Family Base Camp — Wayfinders on the Hudson,event item,sitemap/unlinked,200,2023-10-09,83,1,0,Family Base Camp,checkout.stripe.com; maps.app.goo.gl; www.facebook.com; www.google.com; www.instagram.com,archive/redirect,Dated event item; preserve only if historically valuable or receiving traffic.
/forest-bathing,Forest Bathing — Wayfinders on the Hudson,information/media,sitemap/unlinked,200,2024-10-11,325,5,0,"EVENT FULL, REGISTRATION CLOSED! Family Base Camp | Forest Yoga | Family Base Camp | Fireside Shabbat",buy.stripe.com; connect.intuit.com; forms.gle; maps.app.goo.gl; maps.google.com; www.facebook.com; www.google.com; www.instagram.com,review,Public sitemap page not in current navigation; owner decision required.
/forest-bathing/event-one-2skm3-r4s3h,"EVENT FULL, REGISTRATION CLOSED! Family Base Camp — Wayfinders on the Hudson",event item,sitemap/unlinked,200,2024-10-11,101,2,0,"EVENT FULL, REGISTRATION CLOSED! Family Base Camp | Forest Yoga",connect.intuit.com; maps.app.goo.gl; www.facebook.com; www.google.com; www.instagram.com,archive/redirect,Dated event item; preserve only if historically valuable or receiving traffic.
/forest-bathing/forest-yoga-ggl7h,Forest Yoga — Wayfinders on the Hudson,event item,sitemap/unlinked,200,2024-06-03,89,1,0,"Forest Yoga | Lenoir Preserve | 19 Dudley Street, Hastings, NY | EVENT FULL, REGISTRATION CLOSED! Family Base Camp",connect.intuit.com; maps.google.com; www.facebook.com; www.google.com; www.instagram.com,archive/redirect,Dated event item; preserve only if historically valuable or receiving traffic.
/forest-bathing/forest-yoga,Forest Yoga — Wayfinders on the Hudson,event item,sitemap/unlinked,200,2024-06-03,85,1,0,"Forest Yoga | Lenoir Preserve | 19 Dudley Street, Hastings, NY | Family Base Camp",connect.intuit.com; maps.google.com; www.facebook.com; www.google.com; www.instagram.com,archive/redirect,Dated event item; preserve only if historically valuable or receiving traffic.
/forest-bathing/event-one-2skm3,Family Base Camp — Wayfinders on the Hudson,event item,sitemap/unlinked,200,2024-10-04,95,2,0,Family Base Camp | Fireside Shabbat | Forest Yoga,buy.stripe.com; maps.app.goo.gl; www.facebook.com; www.google.com; www.instagram.com,archive/redirect,Dated event item; preserve only if historically valuable or receiving traffic.
/forest-bathing/https/formsgle/fjbcu2cjoovxwxek9,Fireside Shabbat — Wayfinders on the Hudson,event item,sitemap/unlinked,200,2023-10-09,57,1,0,Fireside Shabbat | REGISTER | Family Base Camp,forms.gle; www.facebook.com; www.google.com; www.instagram.com,archive/redirect,Dated event item; preserve only if historically valuable or receiving traffic.
/events-1-1-forest-bathing,Forest Bathing — Wayfinders on the Hudson,information/media,sitemap/unlinked,200,2025-05-07,68,2,0,Forest Bathing,www.facebook.com; www.google.com; www.instagram.com,review,Public sitemap page not in current navigation; owner decision required.
/events-1-1-forest-bathing/forest-bathing,Forest Bathing — Wayfinders on the Hudson,event item,sitemap/unlinked,200,2025-05-07,209,1,0,Forest Bathing,abodyofbeing.com; www.facebook.com; www.google.com; www.instagram.com,archive/redirect,Dated event item; preserve only if historically valuable or receiving traffic.
/home,Home,homepage,sitemap/unlinked,200,2026-07-24,1353,8,2,"Connecting With Ourselves, Each Other, and The Earth | Check out our *NEW* programs! | Screen-free time in nature. Programs for people of all ages. | Spark Your Child's Connection to Themselves, Each Other, and the Earth! | What is Wayfinders? | Join Our Mailing List | Why Wayfinders? | Our children are disconnecting from themselves, their families, communities, and the earth as they enter their teenage years.",www.facebook.com; www.instagram.com,redirect,Duplicate homepage; redirect to `/` after parity is approved.
/the-team,The Team — Wayfinders on the Hudson,people index,current navigation,200,2026-06-15,191,14,0,"Gwen Merkin - Co-Founder, Executive Director | Leah Gozhansky - Co-Founder, Program Director | Sayako Aizeki-Nevins | Rebecca D’Elia | Bryte Gordon | Sonjaia McCrae | Stacie Bartolotta | Hannah Van Dolsen",www.facebook.com; www.instagram.com,keep/review,In current public navigation; migrate unless owner marks outdated.
/contact-us,Contact — Wayfinders on the Hudson,contact/form,current navigation,200,2025-11-06,118,2,1,Join our Mailing List | Contact Us,www.facebook.com; www.instagram.com,keep/review,In current public navigation; migrate unless owner marks outdated.
/springpilot,Spring Pilot — Wayfinders on the Hudson,program/service,sitemap/unlinked,200,2022-04-19,623,13,0,"Sitting around fires, crafting with their hands, bonding with friends, building leadership skills, and spending time with their feet on the earth – within a safe and supportive community. | Wayfinders Spring Pilot includes 2 bi-weekly (choose either Wednesday or Thursday) fire circles and one monthly Sunday retreat (which everyone will attend). There will be 2 gatherings for parents/guardians. | Wednesday Group | Thursday Group | Retreats | Service Project | Parent/Guardian Gatherings | 2021 Program is Launched!",www.facebook.com; www.instagram.com,archive/redirect,Dated or legacy program content; confirm archival and redirect destination.
/applyspringpilot,About 5 — Wayfinders on the Hudson,registration/application,sitemap/unlinked,200,2022-02-15,298,3,0,"Spring 2022 Pilot Application | We are so excited to be offering our pilot program for Spring 2022! | For details on the Program, click | here | . | Space is extremely limited to participate in the Spring Pilot. | Application Deadline: | February 28th.",operations.daxko.com; www.facebook.com; www.instagram.com,archive/redirect,Dated or legacy program content; confirm archival and redirect destination.
/gwen,GWEN — Wayfinders on the Hudson,person profile,sitemap/unlinked,200,2025-01-21,233,2,0,"Gwen Merkin | MA City Planning, LEED AP, Wild Earth Teacher Training, Certificate in Ecopsychology",www.facebook.com; www.instagram.com,merge/review,Likely team profile; confirm current person and merge into team pattern or preserve route.
/leah,Leah — Wayfinders on the Hudson,person profile,sitemap/unlinked,200,2026-04-16,198,2,0,"Leah Gozhansky | M.A Psychological Counseling, Ed.M Psychological Counseling & Education, Certified Nature Informed Therapist",www.facebook.com; www.instagram.com,merge/review,Likely team profile; confirm current person and merge into team pattern or preserve route.
/miriam,Miriam — Wayfinders on the Hudson,person profile,sitemap/unlinked,200,2021-10-26,290,2,0,"Miriam Rubin | B-Mitzvah Guide, Youth Mentor, Interfaith Minister, and the Creative Ritual Director of Wayfinders.",www.facebook.com; www.instagram.com,merge/review,Likely team profile; confirm current person and merge into team pattern or preserve route.
/faqs,FAQs — Wayfinders on the Hudson,information/media,current navigation,200,2024-03-28,901,2,0,Frequently asked questions.,www.facebook.com; www.instagram.com,keep/review,In current public navigation; migrate unless owner marks outdated.
/application,Application — Wayfinders on the Hudson,registration/application,sitemap/unlinked,200,2021-10-08,41,5,0,Click below to submit your waiver | Maybe you want to launch a business | Maybe you want to turn a hobby into something more | Maybe you have a creative project to share with the world,forms.gle; www.facebook.com; www.instagram.com,review,Public sitemap page not in current navigation; owner decision required.
/donate,Donate — Wayfinders on the Hudson,support/action,current navigation,200,2025-12-01,200,3,0,"Support Wayfinders! | Your donation helps us grow more Wayfinders! | Your contribution moves us closer to meeting our mission of fostering experiential opportunities with nature-connection and social emotional learning, in an effort to develop future sustainability leaders, address mental health issues, and create more equitable access to nature programs. | Click on | “Support” | to email us about other ways you would like to get involved | !",connect.intuit.com; www.facebook.com; www.instagram.com,keep/review,In current public navigation; migrate unless owner marks outdated.
/careers,Careers — Wayfinders on the Hudson,information/media,current navigation,200,2025-02-13,299,2,0,Mentor Positions! | Mentors-in-Training Internship!,forms.gle; www.facebook.com; www.instagram.com,keep/review,In current public navigation; migrate unless owner marks outdated.
/spring-pilot-2022-calendar,General 2 — Wayfinders on the Hudson,program/service,sitemap/unlinked,200,2022-04-19,13,2,0,Check out the Calendar for our Spring 2022 Programs | (view all),www.facebook.com; www.instagram.com,archive/redirect,Dated or legacy program content; confirm archival and redirect destination.
/teen-leadership-institute,Teen Leadership Institute — Wayfinders on the Hudson,information/media,sitemap/unlinked,200,2022-06-14,373,2,0,Wayfinder’s Teen Leadership Institute | This two month-long leadership institute provides teens with the essential skills and character building to effectively mentor youth. Participants who complete the training will receive a | Wayfinder’s Leadership Skills | Certification and training in hands-only CPR. | Dates & Hours | Cost | Location | Program Overview,forms.gle; operations.daxko.com; www.facebook.com; www.instagram.com,review,Public sitemap page not in current navigation; owner decision required.
/apply-for-teen-leadership-institute,Services 3 — Wayfinders on the Hudson,registration/application,sitemap/unlinked,200,2022-03-01,229,3,0,Teen Leadership Institute | The Institute | Community Service,operations.daxko.com; www.facebook.com; www.instagram.com,review,Public sitemap page not in current navigation; owner decision required.
/dei,DEI — Wayfinders on the Hudson,information/media,current navigation,200,2024-03-28,268,2,0,"Diversity, Equity, Inclusion | Purpose | Values | Action | Accountability",www.facebook.com; www.instagram.com,keep/review,In current public navigation; migrate unless owner marks outdated.
/springpilot-1,Spring Pilot (Copy) — Wayfinders on the Hudson,program/service,sitemap/unlinked,200,2022-05-16,623,13,0,"Sitting around fires, crafting with their hands, bonding with friends, building leadership skills, and spending time with their feet on the earth – within a safe and supportive community. | Wayfinders Spring Pilot includes 2 bi-weekly (choose either Wednesday or Thursday) fire circles and one monthly Sunday retreat (which everyone will attend). There will be 2 gatherings for parents/guardians. | Wednesday Group | Thursday Group | Retreats | Service Project | Parent/Guardian Gatherings | 2021 Program is Launched!",www.facebook.com; www.instagram.com,duplicate/review,Probable Squarespace copy or duplicate; compare before redirecting or archiving.
/rite-of-passage,General 1 — Wayfinders on the Hudson,program/service,sitemap/unlinked,200,2022-06-22,761,14,0,Rite of Passage | What is a rite of passage? | Why have a rite of passage? | Wayfinders Rite of Passage | Holistic B'nai Mitzvah (OPTIONAL) | Camping Weekends @ Westchester Campgrounds | Sunday Retreats @ Lenoir | Thursday Evenings (Hybrid),drive.google.com; forms.gle; www.facebook.com; www.instagram.com,review,Public sitemap page not in current navigation; owner decision required.
/programs-overview,Services 1 — Wayfinders on the Hudson,program/service,sitemap/unlinked,200,2022-08-25,366,4,0,Base Camp - 2nd-8th Grades After School Program | Rite of Passage - 6th-8th Grades Coming of Age Program | Teen Leadership Institute - 9th-12th Grades Evening Program,forms.gle; www.facebook.com; www.instagram.com,review,Public sitemap page not in current navigation; owner decision required.
/base-camp,About 2 — Wayfinders on the Hudson,program/service,sitemap/unlinked,200,2022-10-11,231,6,0,"Base Camp | Wayfinders | explores our connections with nature, ourselves, each other, and our communities through weekly fire circles and immersive nature connection games, social emotional learning, leadership development, and community building. Age-based groups (2nd & 3rd; 4th & 5th; 6th-8th) meet one day a week after school, offered during Fall & Spring semesters. | Monday | Wednesday | Thursday | Parent Only Gathering @ Lenoir",forms.gle; www.facebook.com; www.instagram.com,review,Public sitemap page not in current navigation; owner decision required.
/teen-leadership-institute-1,Teen Leadership Institute — Wayfinders on the Hudson,information/media,sitemap/unlinked,200,2022-05-25,0,1,0,,www.facebook.com; www.instagram.com,duplicate/review,Probable Squarespace copy or duplicate; compare before redirecting or archiving.
/rebecca-dellia,Rebecca D'Ellia — Wayfinders on the Hudson,person profile,sitemap/unlinked,200,2023-09-15,154,2,0,"Rebecca D’Elia | MA Psychological Counseling, School Counselor, NOLS Instructor",www.facebook.com; www.instagram.com,merge/review,Likely team profile; confirm current person and merge into team pattern or preserve route.
/greg-rosen,Greg Rosen — Wayfinders on the Hudson,person profile,sitemap/unlinked,200,2022-06-06,117,2,0,"Greg Rosen | MA & Professor or Psychology, Certificate in Environmental Education, S.T.E.M. Educator",www.facebook.com; www.groundworkhv.org; www.instagram.com; www.rivertownscommunitygardens.com,merge/review,Likely team profile; confirm current person and merge into team pattern or preserve route.
/wayfinders-in-the-news,Reviews 1 — Wayfinders on the Hudson,information/media,current navigation,200,2024-02-12,111,6,0,"The Antidote to the Times: Re-Connecting with Nature, Together | Wayfinders pull and plant at Lenoir Preserve | So proud to be among these amazing sponsors and participants at the Hastings Spring Thing - Get Your Green On! | Eye-Opening Wayfinders Youth Volunteer Event Held At Lenoir Preserve | 7 Guiding Principles for a JDEI Policy That Isn’t Just Hot Air. Plus, a Free Sample Policy!",blueavocado.org; drive.google.com; patch.com; www.facebook.com; www.instagram.com; www.rivertownsenterprise.net,keep/review,In current public navigation; migrate unless owner marks outdated.
/incentives-scholarships,Services 4 — Wayfinders on the Hudson,information/media,sitemap/unlinked,200,2022-06-17,540,6,0,Scholarships (need based) | JCC Members | Early Bird Discount | Sibling Discount | Referrals | Payment Plans,forms.gle; gmail.com; www.facebook.com; www.instagram.com,review,Public sitemap page not in current navigation; owner decision required.
/scholarships-1,Scholarships — Wayfinders on the Hudson,information/media,current navigation,200,2026-06-16,263,1,0,Contribute | to the Wayfinders Scholarship Fund or | Apply | for a Scholarship below.,forms.gle; www.facebook.com; www.instagram.com,keep/review,In current public navigation; migrate unless owner marks outdated.
/wayfinders-the-shames-jcc,General 1 — Wayfinders on the Hudson,information/media,sitemap/unlinked,200,2022-06-21,57,2,0,Wayfinders & Shames JCC,www.facebook.com; www.instagram.com; www.shamesjcc.org,review,Public sitemap page not in current navigation; owner decision required.
/fall-2025-base-camp-registration-1st-8th-grade,Fall 2025 Base Camp Registration (1st-8th grade) — Wayfinders on the Hudson,program/service,sitemap/unlinked,200,2025-11-06,328,4,0,11 Tuesdays 3:45-5:45 pm | 11 Wednesdays 3:45-5:45 pm | Registration Details | Scholarships & Payment Plans | Flexible Scheduling | Payment Options | IEP/504 | Refunds,connect.intuit.com; forms.gle; www.facebook.com; www.instagram.com,archive/redirect,Dated or legacy program content; confirm archival and redirect destination.
/slideshow,Slideshow — Wayfinders on the Hudson,information/media,sitemap/unlinked,200,2022-06-26,7,2,0,Check out the Spring 2022 Slideshow!,photos.app.goo.gl; www.facebook.com; www.instagram.com,review,Public sitemap page not in current navigation; owner decision required.
/slideshow-1,Gallery 1 — Wayfinders on the Hudson,information/media,current navigation,200,2024-03-29,289,45,0,Throw on some tunes (we picked this song special for you!) & check out the slideshow from Spring 2022!,www.facebook.com; www.instagram.com,keep/review,In current public navigation; migrate unless owner marks outdated.
/22-rite-of-passage-6th8th-grade,General 1 — Wayfinders on the Hudson,program/service,sitemap/unlinked,200,2022-09-13,861,14,0,Rite of Passage | Limited space is still available - registration is open! | Base Camp begins 9/22 — Intro to ROP begins 10/15 | Thursday Fall* Basecamp @ Lenoir | Sunday Retreats @ Lenoir | Camping Weekends @ Westchester Campgrounds | Parent Only Gathering @ Lenoir | INTRO TO ROP,drive.google.com; forms.gle; www.facebook.com; www.instagram.com,review,Public sitemap page not in current navigation; owner decision required.
/testimonials-,Reviews 1 — Wayfinders on the Hudson,information/media,current navigation,200,2026-02-12,1355,7,0,"""In a lot of camps instead of adding onto things, normally people destroy things, but here people are upgrading things, helping somebody, nobody being rude, everybody being kind!"" | ""As soon as I arrive at Wayfinders, I can just be myself!"" | ""Wayfinders on the Hudson Autumn Gathering for Women provided a much-needed pause in my busy fall, and a chance to connect to the profound changes in nature and in myself at this time. Being with other women in the woods for a quiet morning of meditation, sensory opening and sharing deeply fed my soul! Thank you, Wayfinders, Gwen and Amy!"" | “We are still feeling the good vibes from Monday! Even though it didn’t feel like a Monday! Hahaha. | Thank you again for putting together such an impactful experience for our team. It really set the stage for a very productive 2-day planning session. We got A LOT done! | Really appreciate all you did.” | “As a proud parent of two Wayfinders kids (12 &9), I enthusiastically attest to my immense love and admiration for this incredible program!” | Read more from Anna...",www.facebook.com; www.instagram.com,keep/review,In current public navigation; migrate unless owner marks outdated.
/ali-garber,Ali Garber — Wayfinders on the Hudson,person profile,sitemap/unlinked,200,2022-08-17,104,2,0,"Ali Garber | MFA Photography, Forest School Educator",www.facebook.com; www.instagram.com,merge/review,Likely team profile; confirm current person and merge into team pattern or preserve route.
/lizzie-deyonker,Lizzie DeYonker — Wayfinders on the Hudson,person profile,sitemap/unlinked,200,2022-08-17,29,2,0,Lizzie DeYonker,www.facebook.com; www.instagram.com,merge/review,Likely team profile; confirm current person and merge into team pattern or preserve route.
/hannah-van-dolsen,Hannah Van Dolsen — Wayfinders on the Hudson,person profile,sitemap/unlinked,200,2026-07-23,200,2,0,Hannah Van Dolsen,www.facebook.com; www.instagram.com,merge/review,Likely team profile; confirm current person and merge into team pattern or preserve route.
/message-from-founders,Message from the Founders — Wayfinders on the Hudson,information/media,current navigation,200,2024-03-28,13,1,0,A Message from the Founders,www.facebook.com; www.instagram.com,keep/review,In current public navigation; migrate unless owner marks outdated.
/aron-goldman,Aron Goldman — Wayfinders on the Hudson,person profile,sitemap/unlinked,200,2022-11-29,91,2,0,Aron Goldman | Board Director,www.facebook.com; www.instagram.com,merge/review,Likely team profile; confirm current person and merge into team pattern or preserve route.
/fall-2025-programs-overview,Fall 2025 Programs Overview — Wayfinders on the Hudson,program/service,sitemap/unlinked,200,2025-12-19,497,8,0,Base Camp (After School Program) - 1st-6th Grades | Wise Owls (60+) | Babies & Caregivers Nature Exploration (2 months-1 year) | Internships - 9th-12th Grades | Corporate Retreats (Adults) | School Programs (All Ages) | Passages - 6th-9th Grades (Stay tuned for details),www.facebook.com; www.instagram.com,archive/redirect,Dated or legacy program content; confirm archival and redirect destination.
/fall-22-base-camp-2nd8th-grade,About 2 — Wayfinders on the Hudson,program/service,sitemap/unlinked,200,2023-08-11,310,6,0,"Base Camp | Wayfinders | connects us with ourselves, each other, and the earth. We create community through weekly fire circles and immersive nature connection games, social emotional learning, leadership development, and community building. Mixed-age-groups (2nd-8th) meet one day a week after school. Participants have the opportunity to connect in a- mixed- age group setting and in same -age- cohorts. Offered during Fall & Spring. | Tuesday | Thursday | Family Base Camp | Parent Only Gathering @ Lenoir",checkout.stripe.com; connect.intuit.com; www.facebook.com; www.instagram.com,archive/redirect,Dated or legacy program content; confirm archival and redirect destination.
