source_page,source_url,permission_status,intended_usage,hosting_plan
team,https://images.squarespace-cdn.com/content/v1/61532ef9082b334755993cfd/1654546283146-K7PJ57I5QCSLPDVRJ6UW/Rebecca+2.jpeg,pending owner confirmation,baseline migration preview,temporary Squarespace CDN reference; replace with approved original before launch
team,https://images.squarespace-cdn.com/content/v1/61532ef9082b334755993cfd/3431ef0d-ebb5-4e75-94a5-e874e632a2ae/IMG_0100.jpg,pending owner confirmation,baseline migration preview,temporary Squarespace CDN reference; replace with approved original before launch
team,https://images.squarespace-cdn.com/content/v1/61532ef9082b334755993cfd/08e2b6db-a51b-4c00-bff1-452d87d46c68/IMG_1930.jpeg,pending owner confirmation,baseline migration preview,temporary Squarespace CDN reference; replace with approved original before launch
team,https://images.squarespace-cdn.com/content/v1/61532ef9082b334755993cfd/a7534f4d-af41-4ce3-b138-5aa62e44f2e8/69573019-6189-4D41-B205-91021AB4F524.png,pending owner confirmation,baseline migration preview,temporary Squarespace CDN reference; replace with approved original before launch
team,https://images.squarespace-cdn.com/content/v1/61532ef9082b334755993cfd/1660759281327-2B4283WJVP3ER6SID3SR/Hannah+Van+Dolsen.jpeg,pending owner confirmation,baseline migration preview,temporary Squarespace CDN reference; replace with approved original before launch
team,https://images.squarespace-cdn.com/content/v1/61532ef9082b334755993cfd/7bb0ccf5-de71-4b46-bf32-3aefd1d56ba8/Emily+Orr_Photo.jpeg,pending owner confirmation,baseline migration preview,temporary Squarespace CDN reference; replace with approved original before launch
team,https://images.squarespace-cdn.com/content/v1/61532ef9082b334755993cfd/1632846478758-PL1V4NV2BVYJO77PKHQ5/Miriam.jpg,pending owner confirmation,baseline migration preview,temporary Squarespace CDN reference; replace with approved original before launch
team,https://images.squarespace-cdn.com/content/v1/61532ef9082b334755993cfd/981aa327-aae9-464c-b760-b4f2fc3fabc4/240411_Brotman00258retouch+VertCrop+copy.jpg,pending owner confirmation,baseline migration preview,temporary Squarespace CDN reference; replace with approved original before launch
team,https://images.squarespace-cdn.com/content/v1/61532ef9082b334755993cfd/9fc3a2d2-ed1d-41c4-90bf-ef0a9a6c2d72/jaime+outside+headshot.jpg,pending owner confirmation,baseline migration preview,temporary Squarespace CDN reference; replace with approved original before launch
team,https://images.squarespace-cdn.com/content/v1/61532ef9082b334755993cfd/bd8cee37-159f-4a4e-a50e-53f6de5d19a1/Gwen%2C+Aron%2C+Leah.jpg,pending owner confirmation,baseline migration preview,temporary Squarespace CDN reference; replace with approved original before launch
forest-tots-12-30-months,https://images.squarespace-cdn.com/content/v1/61532ef9082b334755993cfd/72e5bec5-fcd3-4ea8-b448-dff43ddb2fc7/IMG_9286.jpg,pending owner confirmation,baseline migration preview,temporary Squarespace CDN reference; replace with approved original before launch
forest-tots-12-30-months,https://images.squarespace-cdn.com/content/v1/61532ef9082b334755993cfd/89d7429d-91e8-4b55-8830-854ce818efc4/hannah+and+dimitri.jpeg,pending owner confirmation,baseline migration preview,temporary Squarespace CDN reference; replace with approved original before launch
motherhood-rising-6-weeks-12-months,https://images.squarespace-cdn.com/content/v1/61532ef9082b334755993cfd/7b30b440-d9dc-4ec5-a267-ce184789e031/IMG_8866.jpeg,pending owner confirmation,baseline migration preview,temporary Squarespace CDN reference; replace with approved original before launch
motherhood-rising-6-weeks-12-months,https://images.squarespace-cdn.com/content/v1/61532ef9082b334755993cfd/e13de8df-ef96-407b-91de-800ae4713c6b/IMG_9364.jpeg,pending owner confirmation,baseline migration preview,temporary Squarespace CDN reference; replace with approved original before launch
rose-blossoms-12-15-year-old-girls,https://images.squarespace-cdn.com/content/v1/61532ef9082b334755993cfd/41660ced-5d4c-4055-ae72-b381d97a0621/Fall4.png,pending owner confirmation,baseline migration preview,temporary Squarespace CDN reference; replace with approved original before launch
rose-blossoms-12-15-year-old-girls,https://images.squarespace-cdn.com/content/v1/61532ef9082b334755993cfd/6f48ba24-7446-4023-8983-117ede6dbff8/Winter4.png,pending owner confirmation,baseline migration preview,temporary Squarespace CDN reference; replace with approved original before launch
rose-blossoms-12-15-year-old-girls,https://images.squarespace-cdn.com/content/v1/61532ef9082b334755993cfd/bd4e4ecf-30bf-4b01-ab0f-1e83b75af219/Spring4.png,pending owner confirmation,baseline migration preview,temporary Squarespace CDN reference; replace with approved original before launch
rose-blossoms-12-15-year-old-girls,https://images.squarespace-cdn.com/content/v1/61532ef9082b334755993cfd/2bbf295b-5643-478a-b43c-361ce10ddc8b/GwenHero5d.jpg,pending owner confirmation,baseline migration preview,temporary Squarespace CDN reference; replace with approved original before launch
holiday-camps-1st-8th-graders,https://images.squarespace-cdn.com/content/v1/61532ef9082b334755993cfd/bec60d19-ef19-48b3-9572-ef292cb5611f/IMG_1431+%282%29.jpeg,pending owner confirmation,baseline migration preview,temporary Squarespace CDN reference; replace with approved original before launch
holiday-camps-1st-8th-graders,https://images.squarespace-cdn.com/content/v1/61532ef9082b334755993cfd/ed45a473-af40-4eb2-a839-dfdb2ca0da09/IMG_1415.jpeg,pending owner confirmation,baseline migration preview,temporary Squarespace CDN reference; replace with approved original before launch
autumn-2026-womens-retreat,https://images.squarespace-cdn.com/content/v1/61532ef9082b334755993cfd/2747a8bf-7a1a-4a91-8295-fc9faf882066/IMG_3736.jpg,pending owner confirmation,baseline migration preview,temporary Squarespace CDN reference; replace with approved original before launch
wise-owls-55-1,https://images.squarespace-cdn.com/content/v1/61532ef9082b334755993cfd/b42dfdc0-57a0-4ca3-b55b-279ff3ab2e8c/IMG_4139.jpg,pending owner confirmation,baseline migration preview,temporary Squarespace CDN reference; replace with approved original before launch
wise-owls-55-1,https://images.squarespace-cdn.com/content/v1/61532ef9082b334755993cfd/feeab10a-650d-441d-91cb-c86d9646d5a4/IMG_4143+%282%29.jpeg,pending owner confirmation,baseline migration preview,temporary Squarespace CDN reference; replace with approved original before launch
dance-embody-collective,https://images.squarespace-cdn.com/content/v1/61532ef9082b334755993cfd/3273a57a-857c-4623-8875-7c5838ba7b57/IMG_1760.jpg,pending owner confirmation,baseline migration preview,temporary Squarespace CDN reference; replace with approved original before launch
corporate-retreats,https://images.squarespace-cdn.com/content/v1/61532ef9082b334755993cfd/9a0cac0e-a455-4be0-9e99-5d26ab5c6ddc/_DSC9116.jpg,pending owner confirmation,baseline migration preview,temporary Squarespace CDN reference; replace with approved original before launch
